"id","Kunta","Kuukausi","maakunta_id","Maakunta","muutos"
"604","Pirkkala","2024M12","06","Pirkanmaa",9.2
"927","Vihti","2024M12","01","Uusimaa",9.2
"312","Kyyjärvi","2024M12","13","Keski-Suomi",9.1
"102","Huittinen","2024M12","04","Satakunta",9
"208","Kalajoki","2024M12","17","Pohjois-Pohjanmaa",9
"217","Kannus","2024M12","16","Keski-Pohjanmaa",9
"905","Vaasa","2024M12","15","Pohjanmaa",9
"181","Jämijärvi","2024M12","04","Satakunta",8.9
"436","Lumijoki","2024M12","17","Pohjois-Pohjanmaa",8.9
"886","Ulvila","2024M12","04","Satakunta",8.9
"169","Jokioinen","2024M12","05","Kanta-Häme",8.8
"503","Mynämäki","2024M12","02","Varsinais-Suomi",8.8
"710","Raasepori","2024M12","01","Uusimaa",8.8
"098","Hollola","2024M12","07","Päijät-Häme",8.7
"505","Mäntsälä","2024M12","01","Uusimaa",8.7
"543","Nurmijärvi","2024M12","01","Uusimaa",8.7
"561","Oripää","2024M12","02","Varsinais-Suomi",8.7
"849","Toholampi","2024M12","16","Keski-Pohjanmaa",8.7
"301","Kurikka","2024M12","14","Etelä-Pohjanmaa",8.6
"177","Juupajoki","2024M12","06","Pirkanmaa",8.5
"241","Keminmaa","2024M12","19","Lappi",8.5
"529","Naantali","2024M12","02","Varsinais-Suomi",8.5
"418","Lempäälä","2024M12","06","Pirkanmaa",8.4
"165","Janakkala","2024M12","05","Kanta-Häme",8.3
"408","Lapua","2024M12","14","Etelä-Pohjanmaa",8.3
"619","Punkalaidun","2024M12","06","Pirkanmaa",8.3
"086","Hausjärvi","2024M12","05","Kanta-Häme",8.2
"273","Kolari","2024M12","19","Lappi",8.2
"611","Pornainen","2024M12","01","Uusimaa",8.1
"922","Vesilahti","2024M12","06","Pirkanmaa",8.1
"433","Loppi","2024M12","05","Kanta-Häme",8
"018","Askola","2024M12","01","Uusimaa",7.9
"050","Eura","2024M12","04","Satakunta",7.9
"152","Isokyrö","2024M12","14","Etelä-Pohjanmaa",7.9
"425","Liminka","2024M12","17","Pohjois-Pohjanmaa",7.9
"635","Pälkäne","2024M12","06","Pirkanmaa",7.9
"630","Pyhäntä","2024M12","17","Pohjois-Pohjanmaa",7.9
"631","Pyhäranta","2024M12","02","Varsinais-Suomi",7.9
"783","Säkylä","2024M12","04","Satakunta",7.9
"759","Soini","2024M12","14","Etelä-Pohjanmaa",7.9
"980","Ylöjärvi","2024M12","06","Pirkanmaa",7.9
"005","Alajärvi","2024M12","14","Etelä-Pohjanmaa",7.8
"233","Kauhava","2024M12","14","Etelä-Pohjanmaa",7.8
"765","Sotkamo","2024M12","18","Kainuu",7.8
"148","Inari","2024M12","19","Lappi",7.7
"236","Kaustinen","2024M12","16","Keski-Pohjanmaa",7.7
"753","Sipoo","2024M12","01","Uusimaa",7.7
"202","Kaarina","2024M12","02","Varsinais-Suomi",7.6
"250","Kihniö","2024M12","06","Pirkanmaa",7.6
"403","Lappajärvi","2024M12","14","Etelä-Pohjanmaa",7.6
"498","Muonio","2024M12","19","Lappi",7.6
"691","Reisjärvi","2024M12","17","Pohjois-Pohjanmaa",7.6
"934","Vimpeli","2024M12","14","Etelä-Pohjanmaa",7.6
"019","Aura","2024M12","02","Varsinais-Suomi",7.5
"082","Hattula","2024M12","05","Kanta-Häme",7.4
"235","Kauniainen","2024M12","01","Uusimaa",7.4
"322","Kemiönsaari","2024M12","02","Varsinais-Suomi",7.4
"483","Merijärvi","2024M12","17","Pohjois-Pohjanmaa",7.4
"738","Sauvo","2024M12","02","Varsinais-Suomi",7.4
"051","Eurajoki","2024M12","04","Satakunta",7.3
"280","Korsnäs","2024M12","15","Pohjanmaa",7.3
"478","Maarianhamina - Mariehamn","2024M12","21","Ahvenanmaa",7.3
"834","Tammela","2024M12","05","Kanta-Häme",7.3
"287","Kristiinankaupunki","2024M12","15","Pohjanmaa",7.1
"583","Pelkosenniemi","2024M12","19","Lappi",7.1
"399","Laihia","2024M12","15","Pohjanmaa",7
"145","Ilmajoki","2024M12","14","Etelä-Pohjanmaa",6.9
"261","Kittilä","2024M12","19","Lappi",6.9
"577","Paimio","2024M12","02","Varsinais-Suomi",6.9
"423","Lieto","2024M12","02","Varsinais-Suomi",6.8
"538","Nousiainen","2024M12","02","Varsinais-Suomi",6.5
"924","Veteli","2024M12","16","Keski-Pohjanmaa",6.5
"445","Parainen","2024M12","02","Varsinais-Suomi",6.3
"890","Utsjoki","2024M12","19","Lappi",6.3
"946","Vöyri","2024M12","15","Pohjanmaa",6.3
"755","Siuntio","2024M12","01","Uusimaa",6.2
"481","Masku","2024M12","02","Varsinais-Suomi",6
"758","Sodankylä","2024M12","19","Lappi",6
"288","Kruunupyy","2024M12","15","Pohjanmaa",5.8
"941","Vårdö","2024M12","21","Ahvenanmaa",5.8
"300","Kuortane","2024M12","14","Etelä-Pohjanmaa",5.7
"151","Isojoki","2024M12","14","Etelä-Pohjanmaa",5.6
"704","Rusko","2024M12","02","Varsinais-Suomi",5.5
"771","Sund","2024M12","21","Ahvenanmaa",5.5
"893","Uusikaarlepyy","2024M12","15","Pohjanmaa",5.5
"052","Evijärvi","2024M12","14","Etelä-Pohjanmaa",5.4
"149","Inkoo","2024M12","01","Uusimaa",5.4
"043","Eckerö","2024M12","21","Ahvenanmaa",5.1
"060","Finström","2024M12","21","Ahvenanmaa",5.1
"076","Hammarland","2024M12","21","Ahvenanmaa",4.9
"421","Lestijärvi","2024M12","16","Keski-Pohjanmaa",4.9
"545","Närpiö","2024M12","15","Pohjanmaa",4.6
"065","Geta","2024M12","21","Ahvenanmaa",4.1
"475","Maalahti","2024M12","15","Pohjanmaa",4.1
"499","Mustasaari","2024M12","15","Pohjanmaa",4
"417","Lemland","2024M12","21","Ahvenanmaa",3.6
"599","Pedersören kunta","2024M12","15","Pohjanmaa",3.5
"170","Jomala","2024M12","21","Ahvenanmaa",3.3
"736","Saltvik","2024M12","21","Ahvenanmaa",2.9
"440","Luoto","2024M12","15","Pohjanmaa",2.8
"035","Brändö","2024M12","21","Ahvenanmaa",2.7
"062","Föglö","2024M12","21","Ahvenanmaa",2.3
