"id","Kunta","Kuukausi","maakunta_id","Maakunta","Kuntien välinen nettomuutto","muutos"
"103","Humppila",2024-07-01,"05","Kanta-Häme","0",-14
"179","Jyväskylä",2024-07-01,"13","Keski-Suomi","-62",-14
"595","Pielavesi",2024-07-01,"11","Pohjois-Savo","-4",-14
"704","Rusko",2024-07-01,"02","Varsinais-Suomi","0",-14
"074","Halsua",2024-07-01,"16","Keski-Pohjanmaa","-3",-15
"584","Perho",2024-07-01,"16","Keski-Pohjanmaa","5",-15
"620","Puolanka",2024-07-01,"18","Kainuu","-11",-15
"213","Kangasniemi",2024-07-01,"10","Etelä-Savo","1",-16
"265","Kivijärvi",2024-07-01,"13","Keski-Suomi","-2",-16
"626","Pyhäjärvi",2024-07-01,"17","Pohjois-Pohjanmaa","0",-16
"831","Taipalsaari",2024-07-01,"09","Etelä-Karjala","3",-16
"076","Hammarland",2024-07-01,"21","Ahvenanmaa","1",-17
"531","Nakkila",2024-07-01,"04","Satakunta","6",-17
"538","Nousiainen",2024-07-01,"02","Varsinais-Suomi","-4",-17
"607","Polvijärvi",2024-07-01,"12","Pohjois-Karjala","-7",-17
"707","Rääkkylä",2024-07-01,"12","Pohjois-Karjala","2",-17
"216","Kannonkoski",2024-07-01,"13","Keski-Suomi","4",-18
"619","Punkalaidun",2024-07-01,"06","Pirkanmaa","-2",-18
"630","Pyhäntä",2024-07-01,"17","Pohjois-Pohjanmaa","-4",-18
"834","Tammela",2024-07-01,"05","Kanta-Häme","-3",-18
"009","Alavieska",2024-07-01,"17","Pohjois-Pohjanmaa","-1",-19
"077","Hankasalmi",2024-07-01,"13","Keski-Suomi","-6",-19
"291","Kuhmoinen",2024-07-01,"06","Pirkanmaa","5",-19
"478","Maarianhamina - Mariehamn",2024-07-01,"21","Ahvenanmaa","-27",-19
"762","Sonkajärvi",2024-07-01,"11","Pohjois-Savo","-2",-19
"680","Raisio",2024-07-01,"02","Varsinais-Suomi","-2",-20
"441","Luumäki",2024-07-01,"09","Etelä-Karjala","-2",-21
"250","Kihniö",2024-07-01,"06","Pirkanmaa","-4",-22
"507","Mäntyharju",2024-07-01,"10","Etelä-Savo","-5",-22
"588","Pertunmaa",2024-07-01,"10","Etelä-Savo","1",-22
"687","Rautavaara",2024-07-01,"11","Pohjois-Savo","-5",-22
"417","Lemland",2024-07-01,"21","Ahvenanmaa","6",-23
"890","Utsjoki",2024-07-01,"19","Lappi","3",-23
"172","Joutsa",2024-07-01,"13","Keski-Suomi","1",-24
"504","Myrskylä",2024-07-01,"01","Uusimaa","-3",-24
"850","Toivakka",2024-07-01,"13","Keski-Suomi","-13",-24
"683","Ranua",2024-07-01,"19","Lappi","-2",-25
"936","Virrat",2024-07-01,"06","Pirkanmaa","-9",-25
"320","Kemijärvi",2024-07-01,"19","Lappi","-22",-26
"499","Mustasaari",2024-07-01,"15","Pohjanmaa","38",-26
"611","Pornainen",2024-07-01,"01","Uusimaa","4",-26
"051","Eurajoki",2024-07-01,"04","Satakunta","-15",-27
"145","Ilmajoki",2024-07-01,"14","Etelä-Pohjanmaa","-16",-27
"290","Kuhmo",2024-07-01,"18","Kainuu","-13",-27
"736","Saltvik",2024-07-01,"21","Ahvenanmaa","-4",-27
"778","Suonenjoki",2024-07-01,"11","Pohjois-Savo","-20",-27
"217","Kannus",2024-07-01,"16","Keski-Pohjanmaa","11",-28
"495","Multia",2024-07-01,"13","Keski-Suomi","3",-28
"887","Urjala",2024-07-01,"06","Pirkanmaa","3",-28
"139","Ii",2024-07-01,"17","Pohjois-Pohjanmaa","9",-29
"231","Kaskinen",2024-07-01,"15","Pohjanmaa","4",-29
"322","Kemiönsaari",2024-07-01,"02","Varsinais-Suomi","-6",-29
"300","Kuortane",2024-07-01,"14","Etelä-Pohjanmaa","9",-29
"614","Posio",2024-07-01,"19","Lappi","-8",-29
"849","Toholampi",2024-07-01,"16","Keski-Pohjanmaa","0",-29
"178","Juva",2024-07-01,"10","Etelä-Savo","-19",-30
"256","Kinnula",2024-07-01,"13","Keski-Suomi","1",-30
"280","Korsnäs",2024-07-01,"15","Pohjanmaa","-9",-31
"285","Kotka",2024-07-01,"08","Kymenlaakso","54",-33
"689","Rautjärvi",2024-07-01,"09","Etelä-Karjala","10",-33
"925","Vieremä",2024-07-01,"11","Pohjois-Savo","-12",-33
"235","Kauniainen",2024-07-01,"01","Uusimaa","10",-34
"273","Kolari",2024-07-01,"19","Lappi","-23",-34
"561","Oripää",2024-07-01,"02","Varsinais-Suomi","-1",-34
"177","Juupajoki",2024-07-01,"06","Pirkanmaa","-3",-36
"249","Keuruu",2024-07-01,"13","Keski-Suomi","-6",-36
"272","Kokkola",2024-07-01,"16","Keski-Pohjanmaa","22",-36
"169","Jokioinen",2024-07-01,"05","Kanta-Häme","-11",-37
"893","Uusikaarlepyy",2024-07-01,"15","Pohjanmaa","-6",-37
"759","Soini",2024-07-01,"14","Etelä-Pohjanmaa","-7",-38
"399","Laihia",2024-07-01,"15","Pohjanmaa","-6",-39
"420","Leppävirta",2024-07-01,"11","Pohjois-Savo","18",-39
"543","Nurmijärvi",2024-07-01,"01","Uusimaa","-15",-41
"729","Saarijärvi",2024-07-01,"13","Keski-Suomi","-7",-41
"316","Kärkölä",2024-07-01,"07","Päijät-Häme","7",-42
"445","Parainen",2024-07-01,"02","Varsinais-Suomi","23",-42
