"id","Kunta","maakunta_id","Maakunta","Väestö 31.12.","Ennakkotieto","muutos"
"614","Posio","19","Lappi","2923","2870",-1.81
"921","Vesanto","11","Pohjois-Savo","1895","1860",-1.85
"846","Teuva","14","Etelä-Pohjanmaa","4758","4667",-1.91
"265","Kivijärvi","13","Keski-Suomi","1035","1015",-1.93
"230","Karvia","04","Satakunta","2216","2173",-1.94
"484","Merikarvia","04","Satakunta","2966","2907",-1.99
"275","Konnevesi","13","Keski-Suomi","2499","2449",-2
"931","Viitasaari","13","Keski-Suomi","5877","5755",-2.08
"239","Keitele","11","Pohjois-Savo","2035","1992",-2.11
"941","Vårdö","21","Ahvenanmaa","471","461",-2.12
"615","Pudasjärvi","17","Pohjois-Pohjanmaa","7479","7320",-2.13
"176","Juuka","12","Pohjois-Karjala","4259","4168",-2.14
"595","Pielavesi","11","Pohjois-Savo","4073","3986",-2.14
"781","Sysmä","07","Päijät-Häme","3496","3419",-2.2
"177","Juupajoki","06","Pirkanmaa","1708","1669",-2.28
"291","Kuhmoinen","06","Pirkanmaa","2092","2044",-2.29
"090","Heinävesi","12","Pohjois-Karjala","3001","2931",-2.33
"218","Karijoki","14","Etelä-Pohjanmaa","1188","1160",-2.36
"074","Halsua","16","Keski-Pohjanmaa","1013","989",-2.37
"072","Hailuoto","17","Pohjois-Pohjanmaa","948","925",-2.43
"746","Sievi","17","Pohjois-Pohjanmaa","4713","4591",-2.59
"317","Kärsämäki","17","Pohjois-Pohjanmaa","2440","2374",-2.7
"935","Virolahti","08","Kymenlaakso","2927","2848",-2.7
"216","Kannonkoski","13","Keski-Suomi","1217","1184",-2.71
"046","Enonkoski","10","Etelä-Savo","1320","1283",-2.8
"250","Kihniö","06","Pirkanmaa","1749","1700",-2.8
"495","Multia","13","Keski-Suomi","1430","1389",-2.87
"105","Hyrynsalmi","18","Kainuu","2063","2002",-2.96
"588","Pertunmaa","10","Etelä-Savo","1577","1530",-2.98
"421","Lestijärvi","16","Keski-Pohjanmaa","682","660",-3.23
"759","Soini","14","Etelä-Pohjanmaa","1873","1796",-4.11
"295","Kumlinge","21","Ahvenanmaa","290","275",-5.17
"766","Sottunga","21","Ahvenanmaa","115","105",-8.7
