"age","sex","category","population"
66,"Miehet","v2010",161
66,"Miehet","v2024",185
67,"Miehet","v1990",83
67,"Miehet","v2010",150
67,"Miehet","v2024",203
68,"Miehet","v1990",79
68,"Miehet","v2010",115
68,"Miehet","v2024",180
69,"Miehet","v1990",61
69,"Miehet","v2010",147
69,"Miehet","v2024",204
70,"Miehet","v1990",40
70,"Miehet","v2010",98
70,"Miehet","v2024",158
71,"Miehet","v1990",48
71,"Miehet","v2010",87
71,"Miehet","v2024",177
72,"Miehet","v1990",40
72,"Miehet","v2010",102
72,"Miehet","v2024",168
73,"Miehet","v1990",35
73,"Miehet","v2010",100
73,"Miehet","v2024",166
74,"Miehet","v1990",23
74,"Miehet","v2010",88
74,"Miehet","v2024",146
75,"Miehet","v1990",40
75,"Miehet","v2010",63
75,"Miehet","v2024",162
76,"Miehet","v1990",32
76,"Miehet","v2010",71
76,"Miehet","v2024",149
77,"Miehet","v1990",36
77,"Miehet","v2010",69
77,"Miehet","v2024",143
78,"Miehet","v1990",31
78,"Miehet","v2010",57
78,"Miehet","v2024",137
79,"Miehet","v1990",27
79,"Miehet","v2010",66
79,"Miehet","v2024",130
80,"Miehet","v1990",17
80,"Miehet","v2010",54
80,"Miehet","v2024",100
81,"Miehet","v1990",19
81,"Miehet","v2010",53
81,"Miehet","v2024",105
82,"Miehet","v1990",21
82,"Miehet","v2010",43
82,"Miehet","v2024",61
83,"Miehet","v1990",20
83,"Miehet","v2010",53
83,"Miehet","v2024",92
84,"Miehet","v1990",15
84,"Miehet","v2010",31
84,"Miehet","v2024",62
85,"Miehet","v1990",8
85,"Miehet","v2010",19
85,"Miehet","v2024",45
86,"Miehet","v1990",9
86,"Miehet","v2010",18
86,"Miehet","v2024",44
87,"Miehet","v1990",12
87,"Miehet","v2010",23
87,"Miehet","v2024",37
88,"Miehet","v1990",6
88,"Miehet","v2010",17
88,"Miehet","v2024",35
89,"Miehet","v1990",3
89,"Miehet","v2010",5
89,"Miehet","v2024",25
90,"Miehet","v1990",2
90,"Miehet","v2010",8
90,"Miehet","v2024",19
91,"Miehet","v1990",0
91,"Miehet","v2010",9
91,"Miehet","v2024",18
92,"Miehet","v1990",4
92,"Miehet","v2010",6
92,"Miehet","v2024",12
93,"Miehet","v1990",3
93,"Miehet","v2010",4
93,"Miehet","v2024",6
94,"Miehet","v1990",1
94,"Miehet","v2010",2
94,"Miehet","v2024",11
95,"Miehet","v1990",1
95,"Miehet","v2010",0
95,"Miehet","v2024",4
96,"Miehet","v1990",0
96,"Miehet","v2010",2
96,"Miehet","v2024",7
97,"Miehet","v1990",0
97,"Miehet","v2010",2
97,"Miehet","v2024",2
98,"Miehet","v1990",0
98,"Miehet","v2010",0
98,"Miehet","v2024",0
99,"Miehet","v1990",1
99,"Miehet","v2010",1
99,"Miehet","v2024",0
100,"Miehet","v1990",0
100,"Miehet","v2010",1
100,"Miehet","v2024",0
0,"Naiset","v1990",185
0,"Naiset","v2010",202
0,"Naiset","v2024",168
1,"Naiset","v1990",177
1,"Naiset","v2010",237
1,"Naiset","v2024",186
2,"Naiset","v1990",180
2,"Naiset","v2010",244
2,"Naiset","v2024",179
3,"Naiset","v1990",162
3,"Naiset","v2010",223
3,"Naiset","v2024",219
4,"Naiset","v1990",178
4,"Naiset","v2010",227
4,"Naiset","v2024",182
5,"Naiset","v1990",189
5,"Naiset","v2010",212
5,"Naiset","v2024",186
6,"Naiset","v1990",174
6,"Naiset","v2010",260
6,"Naiset","v2024",203
7,"Naiset","v1990",189
7,"Naiset","v2010",224
7,"Naiset","v2024",193
8,"Naiset","v1990",178
8,"Naiset","v2010",232
8,"Naiset","v2024",218
9,"Naiset","v1990",169
